HHID,DV,From,To,T_hr,T_min,Wt_time,AV_time,Trn_time,Wlk_time,Onboard,Prk_time,Prk_fee,AV_dist,PAV_opr,Fare
2,X[1] = 1.0,0,3,3.0,0.0,,0,,,0.0,,,0,0.0,
2,X[1] = 1.0,1,5,8.0,50.68571428571704,,9.314285714285715,,,1.0,,,3860,1.158,
2,X[1] = 1.0,2,6,19.0,43.74285714285725,,11.25714285714286,,,1.0,,,4740,1.422,
2,X[1] = 1.0,3,7,8.0,16.51428571428687,,8.485714285714286,,,1.0,,,4040,1.212,
2,X[1] = 1.0,5,41,9.0,2.5011104298755527e-12,,9.914285714285716,,,-0.0,,,4120,1.236,
2,X[1] = 1.0,6,42,20.0,0.0,,11.142857142857146,,,-0.0,,,4700,1.41,
2,X[1] = 1.0,7,43,8.0,30.000000000001364,,8.371428571428572,,,-0.0,,,4000,1.2,
2,X[1] = 1.0,41,2,9.0,9.914285714288098,,0,,,-0.0,10.563809523809674,0.0,0,0.0,
2,X[1] = 1.0,42,46,20.0,11.142857142856883,,11.25714285714286,,,-0.0,1.1266666666661287,0.0,4740,1.422,
2,X[1] = 1.0,43,1,8.0,43.37142857141805,,0,,,-0.0,0.12190476190499311,0.0,0,0.0,
2,X[1] = 1.0,46,58,21.0,30.0,0.0,11.142857142857146,,,1.0,,,4700,1.41,
2,X[1] = 1.0,58,65,21.0,46.142857142856656,,0,,,-0.0,,,0,0.0,
2,X[2] = 1.0,0,4,3.0,0.0,,0,,,0.0,,,0,0.0,
2,X[2] = 1.0,4,8,16.0,3.3999999999987267,,7.457142857142858,,,1.0,,,3240,0.9719999999999999,
2,X[2] = 1.0,8,47,16.0,15.857142857142208,,9.142857142857144,,,-0.0,,,4600,1.38,
2,X[2] = 1.0,44,45,16.0,53.19999999999982,,9.314285714285715,,,0.0,0.4580952380953178,0.0,3860,1.158,
2,X[2] = 1.0,45,57,17.0,30.0,0.0,9.914285714285716,,,1.0,,,4120,1.236,
2,X[2] = 1.0,47,59,16.0,30.0,0.0,8.371428571428572,,,1.0,,,4000,1.2,
2,X[2] = 1.0,48,60,16.0,45.85714285714221,0.0,7.342857142857144,,,1.0,,,3200,0.96,
2,X[2] = 1.0,57,65,17.0,44.914285714285825,,0,,,0.0,,,0,0.0,
2,X[2] = 1.0,59,48,16.0,38.39999999999782,,7.457142857142858,,,0.0,,,3240,0.9719999999999999,
2,X[2] = 1.0,60,44,16.0,53.19999999999982,,0,,,0.0,,,0,0.0,
2,H[1] = 1.0,0,1,3.0,0.0,0,0,,,,,,0,,
2,H[1] = 1.0,1,5,8.0,50.68571428571704,0,9.314285714285715,,,,,,3860,,
2,H[1] = 1.0,5,45,9.0,2.5011104298755527e-12,0,0,,,,,,0,,
2,H[1] = 1.0,45,57,17.0,30.0,0.0,9.914285714285716,,,,,,4120,,
2,H[1] = 1.0,57,65,17.0,44.914285714285825,0,0,,,,,,0,,
2,H[2] = 1.0,0,4,3.0,0.0,0,0,,,,,,0,,
2,H[2] = 1.0,2,6,19.0,43.74285714285725,0,11.25714285714286,,,,,,4740,,
2,H[2] = 1.0,4,8,16.0,3.3999999999987267,0,7.457142857142858,,,,,,3240,,
2,H[2] = 1.0,6,46,20.0,0.0,0,0,,,,,,0,,
2,H[2] = 1.0,8,48,16.0,15.857142857142208,0,0,,,,,,0,,
2,H[2] = 1.0,46,58,21.0,30.0,0.0,11.142857142857146,,,,,,4700,,
2,H[2] = 1.0,48,60,16.0,45.85714285714221,0.0,7.342857142857144,,,,,,3200,,
2,H[2] = 1.0,58,65,21.0,46.142857142856656,0,0,,,,,,0,,
2,H[2] = 1.0,60,62,16.0,53.19999999999982,0,0,,,,,,0,,
2,H[2] = 1.0,62,2,19.0,43.74285714285725,0,0,,,,,,0,,
2,H[3] = 1.0,0,3,3.0,0.0,0,0,,,,,,0,,
2,H[3] = 1.0,3,7,8.0,16.51428571428687,0,8.485714285714286,,,,,,4040,,
2,H[3] = 1.0,7,47,8.0,30.000000000001364,0,0,,,,,,0,,
2,H[3] = 1.0,47,59,16.0,30.0,0.0,8.371428571428572,,,,,,4000,,
2,H[3] = 1.0,59,65,16.0,38.39999999999782,0,0,,,,,,0,,
HH cost,24.210857142857176,,,,,,,,,,,,,,
Runtime,12.37,,,,,,,,,,,,,,
Activities,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PAVwt,3.183231456205249e-14,,,,,,,,,,,,,,
PAViv,5.862857142857144,,,,,,,,,,,,,,
PAVop,18.348,,,,,,,,,,,,,,
PAVpk,0.0,,,,,,,,,,,,,,
SAVwt,0.0,,,,,,,,,,,,,,
SAViv,0.0,,,,,,,,,,,,,,
SAVfb,0.0,,,,,,,,,,,,,,
SAVfd,0.0,,,,,,,,,,,,,,
TRNwk,0.0,,,,,,,,,,,,,,
TRNwt,0.0,,,,,,,,,,,,,,
TRNiv,0.0,,,,,,,,,,,,,,
TRNfr,0.0,,,,,,,,,,,,,,
